ID, X, Y,Z,first_z, last_z, VOL, INTENSITY, TEXTURE, CONVEXITY, SHAPE, ECCENTRICITY, BENDING_ENERGY, RADIUS_VAR, INSIDE_GRAD, BORDER_GRAD, PERI, SHARE_BORDER, ORIENTATION, INT_RATIO, DEPTH, POLARS, STDV, SKEW, ENERGY, ENTROPY, MIN_CURV, MED_CURV, PCNT_CONCAVITY
 178, 298, 706, 53, 48, 60, 575.00, 64.00, 38.34, 0.00, 0.59, 0.00, 0.00, 1.30, 19.36, 32.28, 299.00, 0.00, 0.00, 0.88, 13.00, 2.00, 9.78, 0.07, 3393.00, 0.00, 0.00, 0.00, 0.00
 179, 190, 707, 80, 72, 89, 845.00, 58.00, 38.54, 0.00, 0.64, 0.00, 0.00, 1.90, 17.61, 26.93, 410.00, 0.06, 0.00, 0.87, 18.00, 2.00, 7.95, 0.23, 12039.00, 0.00, 0.00, 0.00, 0.00
 180, 198, 707, 62, 55, 68, 502.00, 54.00, 40.15, 0.00, 0.56, 0.00, 0.00, 1.49, 16.96, 24.49, 269.00, 0.00, 0.00, 0.92, 14.00, 2.00, 9.30, 0.80, 2907.00, 0.00, 0.00, 0.00, 0.00
 181, 152, 706, 64, 58, 75, 1574.00, 58.00, 47.60, 1.15, 0.95, 2.06, 1.65, 2.31, 21.65, 27.30, 714.00, 0.08, 2.16, 0.86, 18.00, 1.00, 14.13, 0.44, 28568.00, 0.00, 0.00, 0.00, 0.00
 182, 160, 711, 63, 54, 75, 1397.00, 69.00, 40.53, 1.41, 0.84, 1.67, 1.05, 2.63, 22.07, 30.61, 622.00, 0.10, 1.18, 0.77, 22.00, 2.00, 12.72, 0.41, 21350.00, 0.00, 0.00, 0.00, 0.00
 183, 58, 713, 143, 137, 149, 628.00, 64.00, 55.90, 0.00, 0.56, 0.00, 0.00, 1.34, 28.32, 48.14, 320.00, 0.00, 0.00, 1.01, 13.00, 2.00, 14.70, 0.63, 2927.00, 0.00, 0.00, 0.00, 0.00
 184, 304, 725, 36, 28, 45, 1060.00, 61.00, 42.69, 1.33, 0.75, 1.80, 1.46, 1.81, 20.32, 27.74, 505.00, 0.00, 2.95, 0.84, 18.00, 1.00, 10.10, 0.67, 16179.00, 0.00, 0.00, 0.00, 0.00
 185, 153, 726, 67, 61, 74, 727.00, 52.00, 37.66, 10.83, 0.58, 1.47, 1.64, 1.36, 15.52, 21.92, 351.00, 0.14, 0.59, 0.97, 14.00, 2.00, 7.96, 1.09, 9327.00, 0.00, 0.00, 0.00, 0.00
 186, 302, 727, 101, 96, 107, 405.00, 49.00, 36.64, 0.00, 0.53, 0.00, 0.00, 1.09, 14.08, 18.73, 232.00, 0.00, 0.00, 0.98, 12.00, 2.00, 6.80, 0.47, 2356.00, 0.00, 0.00, 0.00, 0.00
 187, 9, 729, 105, 99, 112, 603.00, 57.00, 40.79, 0.00, 0.53, 0.00, 0.00, 1.23, 18.49, 24.50, 302.00, 0.00, 0.00, 0.86, 14.00, 1.00, 8.21, 0.14, 5188.00, 0.00, 0.00, 0.00, 0.00
