ID, X, Y,Z,first_z, last_z, VOL, INTENSITY, TEXTURE, CONVEXITY, SHAPE, ECCENTRICITY, BENDING_ENERGY, RADIUS_VAR, INSIDE_GRAD, BORDER_GRAD, PERI, SHARE_BORDER, ORIENTATION, INT_RATIO, DEPTH, POLARS, STDV, SKEW, ENERGY, ENTROPY, MIN_CURV, MED_CURV, PCNT_CONCAVITY
 35, 314, 246, 118, 109, 127, 1039.00, 56.00, 39.46, 0.00, 0.71, 0.00, 0.00, 2.29, 17.32, 23.48, 486.00, 0.07, 0.00, 0.88, 19.00, 2.00, 8.17, 0.45, 18238.00, 0.00, 0.00, 0.00, 0.00
 36, 324, 252, 87, 79, 97, 995.00, 67.00, 40.91, 3.37, 0.70, 1.61, 1.33, 2.07, 21.49, 30.04, 472.00, 0.04, 2.16, 0.80, 19.00, 1.00, 11.61, 0.28, 11692.00, 0.00, 0.00, 0.00, 0.00
 37, 309, 256, 88, 67, 110, 5832.00, 76.00, 43.79, 0.98, 1.54, 1.49, 1.56, 5.34, 26.17, 34.02, 1997.00, 0.06, 0.20, 0.71, 44.00, 2.00, 19.97, 0.37, 328270.00, 0.00, 0.00, 0.00, 0.00
 38, 301, 254, 59, 47, 69, 1274.00, 79.00, 46.38, 18.09, 0.80, 1.23, 1.33, 2.70, 28.89, 37.85, 574.00, 0.05, 0.59, 0.71, 23.00, 2.00, 17.17, 0.05, 13397.00, 0.00, 0.00, 0.00, 0.00
 39, 333, 256, 103, 94, 115, 1428.00, 62.00, 40.11, 1.16, 0.92, 2.14, 1.53, 2.16, 19.64, 28.17, 650.00, 0.02, 2.16, 0.79, 22.00, 1.00, 11.15, 0.35, 24515.00, 0.00, 0.00, 0.00, 0.00
 40, 190, 260, 71, 64, 79, 921.00, 58.00, 38.90, 0.00, 0.66, 0.00, 0.00, 1.67, 17.81, 26.23, 439.00, 0.04, 0.00, 0.85, 16.00, 2.00, 9.38, 0.52, 12750.00, 0.00, 0.00, 0.00, 0.00
 41, 290, 263, 56, 43, 69, 1851.00, 64.00, 41.34, 2.95, 0.91, 1.56, 1.36, 3.44, 20.90, 29.63, 770.00, 0.02, 0.39, 0.79, 27.00, 2.00, 12.97, 0.65, 42165.00, 0.00, 0.00, 0.00, 0.00
 42, 320, 268, 105, 100, 112, 997.00, 57.00, 45.10, 1.06, 0.78, 1.99, 1.65, 1.58, 20.34, 22.14, 482.00, 0.06, 0.79, 0.91, 13.00, 1.00, 10.96, 0.45, 11200.00, 0.00, 0.00, 0.00, 0.00
 43, 193, 270, 79, 68, 91, 1714.00, 61.00, 45.07, 1.51, 0.93, 1.50, 1.01, 2.88, 21.66, 27.40, 747.00, 0.04, 1.96, 0.80, 24.00, 2.00, 13.87, 0.34, 32330.00, 0.00, 0.00, 0.00, 0.00
 44, 319, 271, 100, 98, 103, 376.00, 68.00, 45.68, 1.36, 0.82, 1.42, 1.69, 1.29, 24.47, 26.01, 250.00, 0.13, 0.59, 0.93, 6.00, 1.00, 17.24, 0.12, 577.00, 0.00, 0.00, 0.00, 0.00
 45, 319, 271, 91, 83, 98, 971.00, 77.00, 40.79, 3.20, 0.64, 1.32, 1.10, 1.56, 24.65, 37.29, 442.00, 0.06, 2.95, 0.78, 16.00, 1.00, 14.90, 0.18, 8544.00, 0.00, 0.00, 0.00, 0.00
 46, 338, 272, 109, 101, 117, 820.00, 65.00, 43.29, 0.00, 0.79, 0.00, 0.00, 2.05, 22.28, 35.80, 429.00, 0.00, 0.00, 0.83, 17.00, 1.00, 12.13, 0.76, 7156.00, 0.00, 0.00, 0.00, 0.00
 47, 326, 272, 115, 110, 123, 705.00, 56.00, 35.77, 0.00, 0.61, 0.00, 0.00, 1.33, 15.70, 20.43, 357.00, 0.05, 0.00, 0.87, 14.00, 1.00, 7.72, 0.02, 7756.00, 0.00, 0.00, 0.00, 0.00
 48, 178, 273, 136, 131, 142, 375.00, 52.00, 40.15, 0.00, 0.51, 0.00, 0.00, 1.24, 16.54, 19.11, 222.00, 0.00, 0.00, 0.89, 12.00, 2.00, 8.02, 0.48, 1841.00, 0.00, 0.00, 0.00, 0.00
 49, 224, 276, 8, 0, 19, 1488.00, 66.00, 46.22, 1.14, 0.88, 1.44, 1.15, 2.61, 24.08, 33.65, 652.00, 0.00, 1.77, 0.81, 20.00, 2.00, 14.74, 0.65, 19098.00, 0.00, 0.00, 0.00, 0.00
 50, 198, 285, 73, 64, 83, 1116.00, 72.00, 44.50, 0.00, 0.78, 0.00, 0.00, 2.38, 25.28, 38.64, 522.00, 0.04, 0.00, 0.79, 20.00, 2.00, 17.05, 0.51, 10081.00, 0.00, 0.00, 0.00, 0.00
 51, 199, 288, 50, 35, 65, 2063.00, 78.00, 45.77, 3.02, 1.09, 1.59, 1.19, 3.95, 27.96, 41.17, 885.00, 0.02, 0.98, 0.74, 31.00, 2.00, 16.30, 0.32, 40113.00, 0.00, 0.00, 0.00, 0.00
 52, 94, 294, 100, 95, 106, 689.00, 51.00, 35.71, 1.56, 0.56, 1.96, 1.42, 1.13, 14.29, 18.33, 343.00, 0.00, 0.79, 0.91, 12.00, 1.00, 6.34, 0.24, 9258.00, 0.00, 0.00, 0.00, 0.00
 53, 161, 306, 77, 69, 86, 985.00, 69.00, 46.08, 0.00, 0.68, 0.00, 0.00, 1.95, 25.06, 40.25, 465.00, 0.00, 0.00, 0.82, 18.00, 2.00, 14.99, -0.05, 8933.00, 0.00, 0.00, 0.00, 0.00
 54, 184, 347, 48, 40, 60, 1270.00, 76.00, 50.67, 2.34, 0.74, 1.43, 1.39, 2.32, 30.42, 40.25, 559.00, 0.10, 0.59, 0.77, 21.00, 2.00, 16.25, 0.25, 14067.00, 0.00, 0.00, 0.00, 0.00
 55, 183, 353, 37, 28, 48, 1710.00, 70.00, 45.46, 1.32, 0.71, 1.24, 1.03, 1.83, 24.87, 27.50, 666.00, 0.05, 2.55, 0.76, 21.00, 2.00, 16.40, 0.59, 29211.00, 0.00, 0.00, 0.00, 0.00
 56, 263, 359, 17, 6, 27, 1359.00, 72.00, 47.32, 2.60, 0.77, 1.50, 1.14, 2.37, 26.85, 36.09, 592.00, 0.01, 1.96, 0.75, 22.00, 2.00, 16.49, 0.57, 16631.00, 0.00, 0.00, 0.00, 0.00
 57, 269, 371, 20, 10, 29, 1289.00, 67.00, 49.03, 1.74, 0.68, 1.48, 1.48, 2.02, 25.81, 33.33, 548.00, 0.01, 0.00, 0.78, 20.00, 1.00, 15.44, 0.66, 17107.00, 0.00, 0.00, 0.00, 0.00
 58, 185, 378, 35, 27, 45, 947.00, 61.00, 42.67, 0.00, 0.67, 0.00, 0.00, 2.01, 20.59, 32.58, 446.00, 0.00, 0.00, 0.87, 19.00, 2.00, 11.54, 0.44, 10609.00, 0.00, 0.00, 0.00, 0.00
 59, 114, 379, 71, 65, 80, 1345.00, 54.00, 35.97, 1.01, 0.83, 1.72, 1.71, 1.76, 15.19, 20.34, 612.00, 0.00, 2.55, 0.88, 16.00, 1.00, 7.23, 0.13, 35726.00, 0.00, 0.00, 0.00, 0.00
 60, 194, 384, 94, 85, 105, 1051.00, 71.00, 41.38, 0.00, 0.72, 0.00, 0.00, 2.47, 23.11, 42.21, 488.00, 0.00, 0.00, 0.78, 21.00, 2.00, 12.98, 0.28, 11594.00, 0.00, 0.00, 0.00, 0.00
 61, 339, 415, 72, 64, 81, 882.00, 66.00, 39.67, 0.00, 0.68, 0.00, 0.00, 1.92, 20.51, 37.94, 428.00, 0.00, 0.00, 0.87, 18.00, 2.00, 11.87, 0.75, 9339.00, 0.00, 0.00, 0.00, 0.00
 62, 141, 416, 144, 135, 149, 462.00, 106.00, 87.86, 4.30, 0.69, 2.46, 2.01, 2.15, 72.85, 65.40, 287.00, 0.00, 2.75, 0.67, 15.00, 2.00, 41.00, 0.37, 458.00, 0.00, 0.00, 0.00, 0.00
 63, 38, 417, 104, 96, 112, 1223.00, 61.00, 43.51, 1.36, 0.74, 1.44, 1.27, 1.69, 20.80, 26.48, 540.00, 0.00, 1.77, 0.85, 17.00, 1.00, 14.08, 0.53, 15830.00, 0.00, 0.00, 0.00, 0.00
 64, 136, 418, 96, 82, 108, 1595.00, 91.00, 60.12, 2.00, 0.96, 1.48, 1.58, 3.24, 42.76, 51.22, 714.00, 0.05, 2.95, 0.71, 27.00, 2.00, 26.17, 0.27, 14334.00, 0.00, 0.00, 0.00, 0.00
 65, 448, 421, 146, 142, 149, 413.00, 53.00, 31.90, 0.00, 0.36, 0.00, 0.00, 0.61, 13.35, 20.91, 207.00, 0.01, 0.00, 0.96, 8.00, 1.00, 7.25, 0.30, 1526.00, 0.00, 0.00, 0.00, 0.00
 66, 255, 426, 31, 20, 43, 1410.00, 76.00, 54.67, 1.57, 0.81, 1.32, 1.04, 2.55, 34.62, 55.00, 629.00, 0.00, 0.39, 0.79, 24.00, 2.00, 24.89, 1.50, 15864.00, 0.00, 0.00, 0.00, 0.00
 67, 153, 425, 141, 136, 147, 484.00, 50.00, 32.58, 0.00, 0.51, 0.00, 0.00, 1.24, 13.02, 18.45, 260.00, 0.00, 0.00, 0.95, 12.00, 2.00, 6.66, 0.69, 4049.00, 0.00, 0.00, 0.00, 0.00
 68, 136, 426, 90, 85, 97, 951.00, 55.00, 43.43, 1.20, 0.56, 1.52, 1.37, 0.93, 18.85, 25.98, 415.00, 0.12, 0.39, 0.92, 13.00, 1.00, 10.62, 1.38, 14375.00, 0.00, 0.00, 0.00, 0.00
 69, 125, 427, 113, 108, 119, 970.00, 50.00, 37.98, 1.11, 0.70, 1.57, 1.62, 1.32, 14.88, 17.17, 462.00, 0.01, 0.00, 0.91, 12.00, 2.00, 7.43, 0.44, 17839.00, 0.00, 0.00, 0.00, 0.00
 70, 152, 428, 84, 77, 92, 918.00, 60.00, 36.91, 0.00, 0.68, 0.00, 0.00, 1.68, 17.47, 31.24, 438.00, 0.00, 0.00, 0.88, 16.00, 1.00, 9.23, 0.08, 11812.00, 0.00, 0.00, 0.00, 0.00
 71, 28, 429, 107, 101, 114, 666.00, 52.00, 36.42, 0.00, 0.60, 0.00, 0.00, 1.35, 15.02, 23.57, 335.00, 0.01, 0.00, 0.92, 14.00, 1.00, 6.04, 0.18, 8043.00, 0.00, 0.00, 0.00, 0.00
 72, 456, 436, 143, 134, 149, 2314.00, 65.00, 41.26, 0.87, 1.19, 1.50, 1.96, 2.12, 21.24, 30.40, 988.00, 0.04, 0.00, 0.83, 16.00, 1.00, 12.67, 0.57, 52895.00, 0.00, 0.00, 0.00, 0.00
 73, 162, 438, 141, 135, 148, 547.00, 54.00, 36.89, 0.00, 0.64, 0.00, 0.00, 1.50, 15.67, 23.62, 311.00, 0.00, 0.00, 0.89, 14.00, 2.00, 6.57, -0.03, 4970.00, 0.00, 0.00, 0.00, 0.00
 74, 468, 440, 146, 142, 149, 615.00, 54.00, 42.35, 0.98, 0.63, 2.33, 1.92, 1.78, 18.04, 24.26, 328.00, 0.22, 2.16, 0.98, 8.00, 2.00, 8.85, 0.53, 2219.00, 0.00, 0.00, 0.00, 0.00
 75, 144, 445, 144, 137, 149, 456.00, 69.00, 48.71, 0.00, 0.50, 0.00, 0.00, 1.31, 26.35, 32.30, 246.00, 0.00, 0.00, 0.81, 13.00, 1.00, 13.93, 0.78, 1273.00, 0.00, 0.00, 0.00, 0.00
 76, 126, 446, 98, 81, 122, 6619.00, 63.00, 41.74, 0.93, 1.89, 2.67, 1.96, 5.35, 20.87, 26.83, 2334.00, 0.00, 0.20, 0.77, 42.00, 2.00, 13.34, 0.53, 631517.00, 0.00, 0.00, 0.00, 0.00
 77, 178, 457, 80, 73, 88, 876.00, 64.00, 39.12, 0.00, 0.62, 0.00, 0.00, 1.68, 19.56, 31.54, 413.00, 0.00, 0.00, 0.81, 16.00, 2.00, 11.46, 0.31, 8864.00, 0.00, 0.00, 0.00, 0.00
 78, 208, 461, 64, 54, 74, 833.00, 63.00, 39.66, 0.00, 0.85, 0.00, 0.00, 2.33, 19.46, 32.95, 443.00, 0.00, 0.00, 0.87, 21.00, 2.00, 9.02, 0.28, 8363.00, 0.00, 0.00, 0.00, 0.00
 79, 147, 460, 130, 126, 136, 440.00, 51.00, 34.17, 0.00, 0.62, 0.00, 0.00, 1.17, 13.86, 21.87, 257.00, 0.00, 0.00, 0.94, 11.00, 1.00, 5.77, 0.44, 3002.00, 0.00, 0.00, 0.00, 0.00
 80, 181, 465, 122, 112, 134, 923.00, 70.00, 39.70, 0.00, 0.84, 0.00, 0.00, 3.01, 22.00, 40.79, 474.00, 0.02, 0.00, 0.84, 23.00, 2.00, 13.29, 0.21, 7790.00, 0.00, 0.00, 0.00, 0.00
 81, 195, 468, 123, 114, 133, 733.00, 60.00, 38.14, 0.00, 0.78, 0.00, 0.00, 2.32, 17.95, 29.72, 395.00, 0.01, 0.00, 0.86, 20.00, 2.00, 8.32, 0.55, 7100.00, 0.00, 0.00, 0.00, 0.00
 82, 177, 469, 92, 86, 98, 516.00, 61.00, 45.96, 0.00, 0.58, 0.00, 0.00, 1.31, 22.05, 25.86, 284.00, 0.09, 0.00, 0.85, 13.00, 2.00, 10.59, 0.96, 3261.00, 0.00, 0.00, 0.00, 0.00
 83, 142, 471, 144, 138, 149, 463.00, 70.00, 39.53, 0.00, 0.63, 0.00, 0.00, 0.97, 21.85, 40.52, 267.00, 0.00, 0.00, 0.89, 12.00, 2.00, 10.57, -0.18, 1280.00, 0.00, 0.00, 0.00, 0.00
 84, 200, 470, 95, 83, 108, 1441.00, 58.00, 36.49, 0.00, 1.03, 0.00, 0.00, 3.60, 16.54, 26.68, 683.00, 0.01, 0.00, 0.86, 26.00, 2.00, 7.83, 0.28, 34994.00, 0.00, 0.00, 0.00, 0.00
 85, 168, 473, 95, 86, 106, 1371.00, 70.00, 39.87, 1.40, 0.84, 1.94, 1.14, 2.11, 22.00, 34.54, 610.00, 0.04, 1.18, 0.80, 21.00, 1.00, 13.49, 0.47, 20096.00, 0.00, 0.00, 0.00, 0.00
 86, 176, 474, 124, 120, 130, 470.00, 52.00, 44.17, 3.08, 0.58, 1.53, 1.63, 0.98, 17.97, 20.17, 257.00, 0.21, 1.77, 0.94, 11.00, 1.00, 9.94, 0.47, 2150.00, 0.00, 0.00, 0.00, 0.00
 87, 203, 476, 120, 112, 130, 531.00, 69.00, 42.61, 0.00, 0.74, 0.00, 0.00, 2.47, 23.04, 30.46, 313.00, 0.02, 0.00, 0.77, 19.00, 2.00, 9.67, 0.10, 2710.00, 0.00, 0.00, 0.00, 0.00
 88, 183, 476, 127, 111, 143, 2408.00, 64.00, 41.76, 1.81, 1.34, 1.76, 2.66, 4.05, 21.14, 28.61, 1045.00, 0.10, 2.95, 0.84, 33.00, 3.00, 13.97, 0.40, 61192.00, 0.00, 0.00, 0.00, 0.00
 89, 159, 477, 109, 101, 117, 1300.00, 60.00, 38.90, 1.34, 0.92, 2.40, 1.23, 2.10, 18.37, 29.27, 611.00, 0.03, 1.57, 0.86, 17.00, 2.00, 11.30, 0.70, 20956.00, 0.00, 0.00, 0.00, 0.00
 90, 175, 476, 142, 135, 149, 696.00, 67.00, 41.08, 0.00, 0.58, 0.00, 0.00, 1.45, 21.63, 29.48, 350.00, 0.07, 0.00, 0.79, 15.00, 2.00, 10.35, 0.13, 4828.00, 0.00, 0.00, 0.00, 0.00
 91, 156, 478, 139, 134, 145, 509.00, 56.00, 32.76, 0.00, 0.50, 0.00, 0.00, 0.97, 14.56, 23.97, 265.00, 0.01, 0.00, 0.90, 12.00, 1.00, 6.73, 0.13, 4354.00, 0.00, 0.00, 0.00, 0.00
 92, 172, 479, 104, 99, 110, 709.00, 77.00, 43.96, 0.00, 0.57, 0.00, 0.00, 0.89, 26.78, 37.39, 347.00, 0.10, 0.00, 0.81, 12.00, 1.00, 14.72, 0.62, 4564.00, 0.00, 0.00, 0.00, 0.00
 93, 179, 480, 86, 77, 94, 1016.00, 74.00, 38.76, 0.00, 0.69, 0.00, 0.00, 1.87, 22.41, 40.38, 473.00, 0.03, 0.00, 0.78, 18.00, 2.00, 13.78, -0.07, 9837.00, 0.00, 0.00, 0.00, 0.00
 94, 192, 484, 119, 91, 145, 2321.00, 68.00, 41.00, 1.59, 2.64, 2.58, 2.64, 7.21, 21.96, 26.75, 1303.00, 0.02, 2.16, 0.83, 55.00, 3.00, 12.83, 0.45, 46641.00, 0.00, 0.00, 0.00, 0.00
 95, 157, 484, 123, 115, 132, 940.00, 57.00, 38.58, 0.00, 0.63, 0.00, 0.00, 1.85, 17.47, 26.10, 440.00, 0.03, 0.00, 0.87, 18.00, 2.00, 10.89, 0.62, 12725.00, 0.00, 0.00, 0.00, 0.00
 96, 172, 486, 116, 107, 124, 1670.00, 58.00, 43.53, 0.96, 0.99, 2.08, 1.67, 1.93, 19.82, 23.96, 744.00, 0.03, 1.57, 0.89, 18.00, 1.00, 11.05, 0.36, 36926.00, 0.00, 0.00, 0.00, 0.00
 97, 185, 486, 104, 94, 113, 2062.00, 78.00, 45.43, 1.13, 1.01, 1.76, 1.84, 2.53, 27.71, 33.34, 857.00, 0.04, 0.79, 0.75, 20.00, 2.00, 16.97, -0.02, 36669.00, 0.00, 0.00, 0.00, 0.00
 98, 187, 487, 126, 114, 140, 4619.00, 59.00, 42.70, 0.96, 1.32, 1.41, 1.76, 3.42, 19.97, 24.27, 1612.00, 0.06, 1.96, 0.89, 27.00, 2.00, 14.97, 0.35, 267622.00, 0.00, 0.00, 0.00, 0.00
 99, 95, 490, 108, 99, 119, 1007.00, 62.00, 36.90, 0.00, 0.74, 0.00, 0.00, 2.42, 17.95, 27.68, 477.00, 0.00, 0.00, 0.81, 21.00, 2.00, 10.40, 0.23, 12154.00, 0.00, 0.00, 0.00, 0.00
 100, 185, 492, 144, 137, 149, 1565.00, 78.00, 45.41, 0.97, 0.87, 1.74, 2.28, 1.67, 27.67, 34.30, 674.00, 0.10, 0.79, 0.82, 13.00, 2.00, 19.13, 0.52, 14115.00, 0.00, 0.00, 0.00, 0.00
 101, 175, 492, 127, 124, 131, 510.00, 65.00, 38.14, 1.00, 0.61, 1.66, 1.87, 1.17, 19.54, 25.66, 285.00, 0.16, 1.57, 0.89, 8.00, 1.00, 9.46, -0.14, 2821.00, 0.00, 0.00, 0.00, 0.00
 102, 167, 493, 130, 126, 138, 504.00, 75.00, 46.92, 0.00, 0.60, 0.00, 0.00, 1.38, 27.50, 38.14, 284.00, 0.04, 0.00, 0.82, 13.00, 2.00, 14.11, 0.25, 2009.00, 0.00, 0.00, 0.00, 0.00
 103, 176, 496, 105, 98, 113, 904.00, 70.00, 40.10, 1.21, 0.82, 2.49, 1.31, 1.90, 22.07, 33.23, 461.00, 0.10, 1.18, 0.85, 16.00, 2.00, 12.88, 0.00, 7285.00, 0.00, 0.00, 0.00, 0.00
 104, 185, 496, 99, 91, 108, 1091.00, 60.00, 45.61, 1.58, 0.80, 1.73, 1.54, 2.08, 21.67, 26.55, 521.00, 0.11, 1.57, 0.82, 18.00, 2.00, 12.48, 1.08, 14908.00, 0.00, 0.00, 0.00, 0.00
 105, 190, 501, 136, 125, 148, 1876.00, 57.00, 40.96, 1.22, 0.94, 1.36, 1.61, 2.63, 18.29, 25.16, 792.00, 0.07, 0.39, 0.90, 24.00, 2.00, 10.43, 0.15, 51631.00, 0.00, 0.00, 0.00, 0.00
 106, 176, 503, 124, 109, 149, 2370.00, 66.00, 46.12, 1.40, 1.82, 1.35, 2.63, 5.78, 24.04, 33.22, 1151.00, 0.05, 2.16, 0.82, 41.00, 2.00, 13.27, 0.52, 54702.00, 0.00, 0.00, 0.00, 0.00
 107, 95, 511, 137, 123, 149, 1608.00, 66.00, 45.58, 1.61, 0.93, 1.63, 1.36, 3.18, 23.61, 31.17, 721.00, 0.02, 2.75, 0.78, 27.00, 2.00, 16.96, 0.57, 25833.00, 0.00, 0.00, 0.00, 0.00
 108, 367, 515, 114, 110, 120, 443.00, 50.00, 39.02, 0.00, 0.59, 0.00, 0.00, 1.24, 15.46, 18.21, 252.00, 0.00, 0.00, 0.92, 11.00, 2.00, 7.17, 0.87, 2719.00, 0.00, 0.00, 0.00, 0.00
 109, 101, 519, 121, 114, 130, 1017.00, 59.00, 41.86, 1.59, 0.90, 2.89, 1.83, 2.11, 19.43, 30.65, 515.00, 0.03, 2.55, 0.88, 17.00, 1.00, 11.15, 1.24, 12832.00, 0.00, 0.00, 0.00, 0.00
 110, 252, 519, 38, 29, 49, 1301.00, 81.00, 50.74, 3.33, 0.70, 1.33, 0.83, 2.20, 40.84, 56.83, 556.00, 0.03, 2.75, 0.77, 21.00, 2.00, 36.03, 3.16, 13963.00, 0.00, 0.00, 0.00, 0.00
 111, 232, 521, 23, 13, 33, 1354.00, 74.00, 45.45, 1.22, 0.97, 1.65, 1.44, 2.38, 26.42, 41.44, 632.00, 0.00, 1.37, 0.78, 21.00, 2.00, 15.05, 0.37, 15420.00, 0.00, 0.00, 0.00, 0.00
 112, 357, 525, 107, 98, 116, 708.00, 71.00, 50.87, 0.00, 0.61, 0.00, 0.00, 2.13, 28.23, 35.29, 358.00, 0.04, 0.00, 0.77, 19.00, 2.00, 15.25, 0.57, 4343.00, 0.00, 0.00, 0.00, 0.00
 113, 82, 526, 133, 121, 144, 1845.00, 65.00, 40.87, 1.16, 0.69, 1.46, 1.39, 2.32, 20.86, 30.40, 712.00, 0.03, 2.75, 0.77, 24.00, 1.00, 13.16, 0.62, 47932.00, 0.00, 0.00, 0.00, 0.00
 114, 4, 527, 127, 119, 137, 607.00, 61.00, 40.34, 0.00, 0.78, 0.00, 0.00, 2.44, 19.32, 24.40, 350.00, 0.06, 0.00, 0.92, 19.00, 2.00, 10.16, 0.28, 3741.00, 0.00, 0.00, 0.00, 0.00
 115, 253, 530, 40, 33, 49, 1304.00, 61.00, 42.83, 1.21, 0.67, 1.75, 1.31, 1.72, 20.55, 32.98, 553.00, 0.10, 2.36, 0.84, 17.00, 1.00, 12.11, 0.39, 21634.00, 0.00, 0.00, 0.00, 0.00
 116, 366, 531, 106, 100, 114, 754.00, 61.00, 41.35, 0.00, 0.61, 0.00, 0.00, 1.43, 19.98, 30.21, 370.00, 0.05, 0.00, 0.86, 15.00, 1.00, 9.79, 0.78, 8010.00, 0.00, 0.00, 0.00, 0.00
 117, 264, 533, 40, 31, 51, 2710.00, 71.00, 58.97, 0.91, 0.95, 2.04, 1.34, 2.28, 42.24, 51.45, 1003.00, 0.04, 2.16, 0.80, 21.00, 1.00, 32.19, 3.59, 76695.00, 0.00, 0.00, 0.00, 0.00
 118, 7, 534, 135, 131, 140, 398.00, 59.00, 39.36, 0.00, 0.53, 0.00, 0.00, 0.82, 18.47, 23.40, 230.00, 0.17, 0.00, 0.92, 10.00, 1.00, 11.25, 0.20, 1456.00, 0.00, 0.00, 0.00, 0.00
 119, 343, 535, 99, 86, 112, 2809.00, 64.00, 41.74, 1.02, 0.91, 1.54, 1.36, 2.90, 21.16, 28.03, 1023.00, 0.05, 2.16, 0.82, 27.00, 2.00, 13.21, 0.37, 105339.00, 0.00, 0.00, 0.00, 0.00
 120, 380, 535, 115, 107, 123, 1190.00, 55.00, 43.09, 1.11, 0.87, 1.39, 1.99, 1.57, 18.61, 26.87, 558.00, 0.02, 0.20, 0.92, 17.00, 1.00, 10.64, -0.14, 16157.00, 0.00, 0.00, 0.00, 0.00
 121, 75, 538, 127, 119, 136, 1019.00, 58.00, 42.09, 1.78, 0.80, 1.82, 1.24, 1.89, 19.24, 30.17, 502.00, 0.10, 1.77, 0.86, 18.00, 1.00, 10.93, -0.00, 13968.00, 0.00, 0.00, 0.00, 0.00
 122, 351, 538, 115, 109, 122, 976.00, 56.00, 39.57, 1.28, 0.67, 1.80, 1.40, 1.50, 17.64, 20.94, 447.00, 0.07, 0.98, 0.89, 14.00, 1.00, 9.48, 0.46, 12945.00, 0.00, 0.00, 0.00, 0.00
 123, 356, 540, 107, 103, 112, 940.00, 63.00, 44.91, 0.97, 0.73, 1.71, 1.72, 1.08, 22.29, 30.78, 462.00, 0.09, 2.55, 0.93, 10.00, 1.00, 16.40, 1.36, 9760.00, 0.00, 0.00, 0.00, 0.00
 124, 354, 540, 96, 89, 103, 1596.00, 67.00, 45.17, 0.99, 0.63, 1.44, 1.45, 1.23, 23.71, 31.09, 611.00, 0.12, 2.55, 0.84, 15.00, 1.00, 16.04, 0.54, 27468.00, 0.00, 0.00, 0.00, 0.00
 125, 7, 544, 133, 116, 148, 3609.00, 65.00, 45.82, 1.05, 1.20, 1.78, 1.54, 3.84, 23.32, 25.88, 1334.00, 0.01, 0.98, 0.75, 33.00, 2.00, 13.78, 0.31, 165737.00, 0.00, 0.00, 0.00, 0.00
 126, 78, 548, 120, 109, 136, 1646.00, 77.00, 44.42, 2.01, 1.22, 2.41, 2.04, 3.40, 27.02, 34.13, 786.00, 0.04, 1.77, 0.69, 28.00, 2.00, 19.06, 0.31, 18203.00, 0.00, 0.00, 0.00, 0.00
 127, 158, 549, 80, 72, 88, 779.00, 67.00, 56.37, 0.00, 0.68, 0.00, 0.00, 1.82, 29.66, 37.61, 394.00, 0.02, 0.00, 0.81, 17.00, 2.00, 14.87, 0.45, 5235.00, 0.00, 0.00, 0.00, 0.00
 128, 349, 550, 92, 83, 104, 414.00, 134.00, 83.52, 0.00, 0.81, 0.00, 0.00, 3.15, 87.67, 91.09, 273.00, 0.01, 0.00, 0.57, 22.00, 2.00, 43.31, 0.25, 434.00, 0.00, 0.00, 0.00, 0.00
 129, 147, 556, 80, 74, 86, 677.00, 58.00, 38.94, 0.00, 0.57, 0.00, 0.00, 1.18, 17.88, 30.85, 334.00, 0.01, 0.00, 0.92, 13.00, 1.00, 9.57, 0.27, 5469.00, 0.00, 0.00, 0.00, 0.00
 130, 381, 563, 119, 112, 126, 654.00, 53.00, 41.44, 0.00, 0.62, 0.00, 0.00, 1.62, 17.37, 26.08, 337.00, 0.00, 0.00, 0.90, 15.00, 2.00, 7.96, 0.33, 5951.00, 0.00, 0.00, 0.00, 0.00
 131, 366, 564, 120, 112, 127, 585.00, 58.00, 36.65, 0.00, 0.77, 0.00, 0.00, 2.11, 16.82, 27.04, 340.00, 0.08, 0.00, 0.86, 16.00, 2.00, 7.02, 0.03, 4561.00, 0.00, 0.00, 0.00, 0.00
 132, 353, 573, 106, 100, 113, 593.00, 70.00, 36.65, 0.00, 0.70, 0.00, 0.00, 1.52, 20.15, 41.82, 326.00, 0.05, 0.00, 0.89, 14.00, 1.00, 9.66, -0.06, 3645.00, 0.00, 0.00, 0.00, 0.00
 133, 367, 573, 113, 99, 131, 2612.00, 69.00, 38.51, 1.18, 1.16, 1.93, 1.51, 3.97, 20.78, 34.40, 1057.00, 0.03, 0.59, 0.76, 33.00, 2.00, 13.09, 0.07, 80317.00, 0.00, 0.00, 0.00, 0.00
 134, 388, 576, 129, 122, 138, 458.00, 94.00, 49.59, 0.00, 0.76, 0.00, 0.00, 2.33, 36.74, 57.09, 290.00, 0.00, 0.00, 0.76, 17.00, 2.00, 15.82, 0.06, 1186.00, 0.00, 0.00, 0.00, 0.00
 135, 372, 583, 115, 105, 126, 966.00, 81.00, 55.56, 0.00, 0.82, 0.00, 0.00, 2.53, 35.29, 47.21, 483.00, 0.08, 0.00, 0.72, 22.00, 2.00, 17.65, -0.21, 6946.00, 0.00, 0.00, 0.00, 0.00
 136, 401, 587, 131, 125, 138, 1000.00, 52.00, 45.54, 1.30, 0.67, 1.60, 1.84, 1.23, 18.76, 19.07, 458.00, 0.00, 0.20, 0.87, 14.00, 1.00, 8.87, 0.56, 15565.00, 0.00, 0.00, 0.00, 0.00
