1958	0.9834	0.5276	1.4	1.158	171.3	250.3	76.39	234.5	1301	0.6854	0	228.2	8849
1990	0.9499	0.5877	1.304	0.8367	158.7	238.5	55.3	229.5	1568	0.6668	0.1989	1583	9096
4069	0.9514	0.8434	1.786	0.8195	174.7	241.5	75	219	1186	0.7246	0	1176	7787
2765	0.9715	0.5581	1.526	0.6668	159.9	248.6	68.89	235.3	1500	0.6447	0.08244	156.6	9001
2630	0.9777	0.6847	1.429	1.297	163.3	244.3	71.12	233.4	1515	0.6697	0.1168	341.5	9039
1801	0.9641	0.2471	1.214	0.8826	164.2	246.2	66.15	227.2	2292	0.6683	0.07572	361.6	6886
1883	0.9812	0.5736	1.174	0.9964	172	238.9	80.32	219.4	1476	0.7212	0	1431	9138
1998	0.9358	0.8693	1.786	0.7702	161.7	226.2	71.66	225.9	1030	0.7163	0.4399	2505	8536
2974	0.9634	0.3233	1.2	0.869	167.8	252.2	59.01	222.9	2456	0.6667	0	102.4	8519
4223	0.9565	0.9443	1.556	0.8464	178.8	218.5	75.62	209.9	1243	0.8194	0	2461	5770
2041	0.9869	0.6617	1.625	0.7761	171.4	241.2	69.77	225.1	1025	0.7117	0	896.5	7668
2091	0.9808	0.6894	1.471	0.8784	164.7	250.7	64.65	241.7	1173	0.6581	0	93.32	9014
1128	0.9666	0.4875	1.474	0.7314	150.2	232	58.31	241.2	1282	0.649	0.2591	4000	10740
1829	0.9351	0.9444	1.294	1.208	159.3	230.5	76.4	237.1	970.9	0.6924	0.2226	1708	7960
2446	0.9615	0.5918	1.833	1.005	181.5	237.5	76.34	211	1511	0.7652	0	1524	7388
1963	0.9723	0.6276	1.813	0.8264	174.6	251.1	61.36	228.6	1169	0.6965	0	176.6	8061
1583	0.9814	0.3321	1.28	0.8366	172.4	248.3	57.95	232.7	1766	0.6956	0	207.5	7346
2160	0.9747	0.6866	1.867	1.327	173	245.8	69.46	222.4	1084	0.7052	0	551.9	8295
1687	0.9735	0.2683	1.222	0.983	169.9	250.7	60.61	226.2	1929	0.6789	0	135	6742
2185	0.9378	0.3568	1.48	1.074	176.7	235.2	66.36	211.9	2051	0.7526	0.2172	1659	5929
2140	0.9622	0.4199	1.429	1.307	178.6	234.7	75.29	218.6	1548	0.7618	0.07952	988.2	5545
1636	0.9867	0.659	1.667	0.6869	168.3	251.4	56.49	239.2	1278	0.671	0	32.36	8479
924	0.9585	0.6378	1.5	1.079	161	230.7	60.93	240.7	1109	0.6989	0.2772	4167	9351
1231	0.9739	0.4625	1.368	1.076	187.5	246.7	81.45	231.4	1235	0.7611	0	306.7	6246
2436	0.9748	0.584	2.154	0.8748	179.3	246.7	68.91	233.5	1054	0.7277	0	321.6	6887
1267	0.9769	0.5068	1.529	1.066	193.1	246.4	79.24	226.1	1190	0.7846	0	915	6262
