6059	0.9727	0.4106	1.321	1.098	102.7	169.5	119.1	182.3	2846	0.6079	0.03897	463.4	3530
6130	0.98	0.3314	1.313	1.006	105.3	173.8	119.6	181.3	3402	0.6081	0	340.2	3416
5344	0.9624	0.4718	1.37	0.7105	113.1	190.6	111.6	206.6	2684	0.5952	0.09281	501.3	4024
5936	0.9757	0.358	1.3	0.8968	98.96	158.1	111.9	185	3250	0.6283	0	825	3135
2581	0.9747	0.2015	1.407	0.8157	164.2	234.4	62.41	221	2584	0.702	0.08565	706.6	5029
5207	0.9736	0.3568	1.429	1.083	109.6	183.7	113.3	199.6	2862	0.5986	0.02977	341.6	3978
5814	0.9655	0.3204	1.281	0.941	79.24	138.7	107.6	160.1	3289	0.5744	0	311.9	2117
5389	0.9684	0.3538	1.212	0.9952	96.34	165	117.4	180.3	3211	0.5863	0.02697	330.1	2898
6316	0.9382	0.2452	1.594	0.7892	121.1	181.5	97.45	182.5	4439	0.6689	0.04301	735.8	3126
5933	0.9371	0.4744	1.72	0.7647	122.5	179.2	115.6	190.8	3008	0.6852	0.1314	955	3591
4972	0.9698	0.3366	1.433	0.8456	91.17	149	104.6	166.1	3140	0.6145	0	160.5	2655
6187	0.9527	0.3112	1.406	0.9683	107.5	172.4	111.7	187.7	3733	0.6257	0.09858	1167	3596
5319	0.9438	0.5112	1.48	0.8072	105.5	170	118.2	186.7	2516	0.6229	0.03425	573.8	3386
5934	0.9546	0.3229	1.593	0.9508	98.17	166	111.9	175.9	3185	0.5939	0.117	561	2983
3929	0.9506	0.1935	1.313	0.8677	97.22	160.2	101.9	167.4	3786	0.6093	0	241.7	2563
5151	0.9632	0.3177	1.226	1.078	81.04	144.9	108.2	162.6	3028	0.5622	0.02874	158.1	2440
5259	0.9501	0.3726	1.483	0.7888	90.61	141.1	107.2	155	3213	0.6445	0.09081	873.9	2035
5957	0.9504	0.2928	1.548	1.068	114.6	171.4	114.3	181	3775	0.6702	0.007439	698.4	3299
